


==========================================================
vector size :  10
alphabet size : 56
python3 tf.py SL2 1k 10 ../sl_train56 ../sl_test56
SL2 1k
38   0.525 count= 40.0
39   0.5 count= 40.0
40   0.5 count= 40.0
41   0.5 count= 40.0
42   0.55 count= 40.0
43   0.525 count= 40.0
44   0.5 count= 40.0
45   0.525 count= 40.0
46   0.525 count= 40.0
47   0.5 count= 40.0
48   0.5 count= 40.0
49   0.5 count= 40.0
50   0.5 count= 40.0
python3 tf.py SL4 10k 10 ../sl_train56 ../sl_test56
SL4 10k
Test1 Accuracies :  0.514706
Test2 Accuracies :  0.5
1   1.0  count= 200.0
2   1.0  count= 200.0
3   1.0  count= 200.0
4   0.333333  count= 600.0
5   0.5  count= 400.0
6   0.5  count= 400.0
7   0.5  count= 400.0
8   0.5  count= 400.0
9   0.5  count= 400.0
10   0.5  count= 400.0
11   0.5  count= 400.0
12   0.5  count= 400.0
13   0.5  count= 400.0
14   0.5  count= 400.0
15   0.5  count= 400.0
16   0.5  count= 400.0
17   0.5  count= 400.0
18   0.5  count= 400.0
19   0.5  count= 400.0
20   0.5  count= 400.0
21   0.5  count= 400.0
22   0.5  count= 400.0
23   0.5  count= 400.0
24   0.5  count= 400.0
25   0.5  count= 4400.0
26   0.5 count= 400.0
27   0.5 count= 400.0
28   0.5 count= 400.0
29   0.5 count= 400.0
30   0.5 count= 400.0
31   0.5 count= 400.0
32   0.5 count= 400.0
33   0.5 count= 400.0
34   0.5 count= 400.0
35   0.5 count= 400.0
36   0.5 count= 400.0
37   0.5 count= 400.0
38   0.5 count= 400.0
39   0.5 count= 400.0
40   0.5 count= 400.0
41   0.5 count= 400.0
42   0.5 count= 400.0
43   0.5 count= 400.0
44   0.5 count= 400.0
45   0.5 count= 400.0
46   0.5 count= 400.0
47   0.5 count= 400.0
48   0.5 count= 400.0
49   0.5 count= 400.0
50   0.5 count= 400.0
python3 tf.py SL4 100k 10 ../sl_train56 ../sl_test56
SL4 100k
Test1 Accuracies :  0.523077
Test2 Accuracies :  0.5
2   1.0  count= 2000.0
3   1.0  count= 2000.0
4   1.0  count= 2000.0
5   0.5  count= 4000.0
6   0.5  count= 4000.0
7   0.5  count= 4000.0
8   0.5  count= 4000.0
9   0.5  count= 4000.0
10   0.5  count= 4000.0
11   0.5  count= 4000.0
12   0.5  count= 4000.0
13   0.5  count= 4000.0
14   0.5  count= 4000.0
15   0.5  count= 4000.0
16   0.5  count= 4000.0
17   0.5  count= 4000.0
18   0.5  count= 4000.0
19   0.5  count= 4000.0
20   0.5  count= 4000.0
21   0.5  count= 4000.0
22   0.5  count= 4000.0
23   0.5  count= 4000.0
24   0.5  count= 4000.0
25   0.5  count= 44000.0
26   0.5 count= 4000.0
27   0.5 count= 4000.0
28   0.5 count= 4000.0
29   0.5 count= 4000.0
30   0.5 count= 4000.0
31   0.5 count= 4000.0
32   0.5 count= 4000.0
33   0.5 count= 4000.0
34   0.5 count= 4000.0
35   0.5 count= 4000.0
36   0.5 count= 4000.0
37   0.5 count= 4000.0
38   0.5 count= 4000.0
39   0.5 count= 4000.0
40   0.5 count= 4000.0
41   0.5 count= 4000.0
42   0.5 count= 4000.0
43   0.5 count= 4000.0
44   0.5 count= 4000.0
45   0.5 count= 4000.0
46   0.5 count= 4000.0
47   0.5 count= 4000.0
48   0.5 count= 4000.0
49   0.5 count= 4000.0
50   0.5 count= 4000.0
==========================================================
vector size :  30
alphabet size : 56
python3 tf.py SL4 1k 30 ../sl_train56 ../sl_test56
SL4 1k
Test1 Accuracies :  0.592647
Test2 Accuracies :  0.504
1   0.95  count= 20.0
2   1.0  count= 20.0
3   1.0  count= 20.0
4   1.0  count= 60.0
5   0.9  count= 40.0
6   0.75  count= 40.0
7   0.7  count= 40.0
8   0.675  count= 40.0
9   0.675  count= 40.0
10   0.525  count= 40.0
11   0.625  count= 40.0
12   0.525  count= 40.0
13   0.525  count= 40.0
14   0.55  count= 40.0
15   0.525  count= 40.0
16   0.5  count= 40.0
17   0.5  count= 40.0
18   0.525  count= 40.0
19   0.5  count= 40.0
20   0.525  count= 40.0
21   0.525  count= 40.0
22   0.5  count= 40.0
23   0.525  count= 40.0
24   0.525  count= 40.0
25   0.506818  count= 440.0
26   0.5 count= 40.0
27   0.5 count= 40.0
28   0.5 count= 40.0
29   0.5 count= 40.0
30   0.525 count= 40.0
31   0.5 count= 40.0
32   0.5 count= 40.0
33   0.5 count= 40.0
34   0.5 count= 40.0
35   0.5 count= 40.0
36   0.5 count= 40.0
37   0.525 count= 40.0
38   0.5 count= 40.0
39   0.5 count= 40.0
40   0.5 count= 40.0
41   0.5 count= 40.0
42   0.525 count= 40.0
43   0.5 count= 40.0
44   0.5 count= 40.0
45   0.525 count= 40.0
46   0.5 count= 40.0
47   0.5 count= 40.0
48   0.5 count= 40.0
49   0.5 count= 40.0
50   0.5 count= 40.0
python3 tf.py SL4 10k 30 ../sl_train56 ../sl_test56
SL4 10k
